Time(t)	 Analytic	 RK-4 
1.630000	 292.078450	 292.078450
1.640000	 292.344800	 292.344800
1.650000	 292.611250	 292.611250
1.660000	 292.877800	 292.877800
1.670000	 293.144450	 293.144450
1.680000	 293.411200	 293.411200
1.690000	 293.678050	 293.678050
1.700000	 293.945000	 293.945000
1.710000	 294.212050	 294.212050
1.720000	 294.479200	 294.479200
1.730000	 294.746450	 294.746450
1.740000	 295.013800	 295.013800
1.750000	 295.281250	 295.281250
1.760000	 295.548800	 295.548800
1.770000	 295.816450	 295.816450
1.780000	 296.084200	 296.084200
1.790000	 296.352050	 296.352050
1.800000	 296.620000	 296.620000
1.810000	 296.888050	 296.888050
1.820000	 297.156200	 297.156200
1.830000	 297.424450	 297.424450
1.840000	 297.692800	 297.692800
1.850000	 297.961250	 297.961250
1.860000	 298.229800	 298.229800
1.870000	 298.498450	 298.498450
1.880000	 298.767200	 298.767200
1.890000	 299.036050	 299.036050
1.900000	 299.305000	 299.305000
1.910000	 299.574050	 299.574050
1.920000	 299.843200	 299.843200
1.930000	 300.112450	 300.112450
1.940000	 300.381800	 300.381800
1.950000	 300.651250	 300.651250
1.960000	 300.920800	 300.920800
1.970000	 301.190450	 301.190450
1.980000	 301.460200	 301.460200
1.990000	 301.730050	 301.730050
2.000000	 302.000000	 302.000000
2.010000	 302.270050	 302.270050
2.020000	 302.540200	 302.540200
2.030000	 302.810450	 302.810450
2.040000	 303.080800	 303.080800
2.050000	 303.351250	 303.351250
2.060000	 303.621800	 303.621800
2.070000	 303.892450	 303.892450
2.080000	 304.163200	 304.163200
2.090000	 304.434050	 304.434050
2.100000	 304.705000	 304.705000
2.110000	 304.976050	 304.976050
2.120000	 305.247200	 305.247200
2.130000	 305.518450	 305.518450
2.140000	 305.789800	 305.789800
2.150000	 306.061250	 306.061250
2.160000	 306.332800	 306.332800
2.170000	 306.604450	 306.604450
2.180000	 306.876200	 306.876200
2.190000	 307.148050	 307.148050
2.200000	 307.420000	 307.420000
2.210000	 307.692050	 307.692050
2.220000	 307.964200	 307.964200
2.230000	 308.236450	 308.236450
2.240000	 308.508800	 308.508800
2.250000	 308.781250	 308.781250
2.260000	 309.053800	 309.053800
2.270000	 309.326450	 309.326450
2.280000	 309.599200	 309.599200
2.290000	 309.872050	 309.872050
2.300000	 310.145000	 310.145000
2.310000	 310.418050	 310.418050
2.320000	 310.691200	 310.691200
2.330000	 310.964450	 310.964450
2.340000	 311.237800	 311.237800
2.350000	 311.511250	 311.511250
2.360000	 311.784800	 311.784800
2.370000	 312.058450	 312.058450
2.380000	 312.332200	 312.332200
2.390000	 312.606050	 312.606050
2.400000	 312.880000	 312.880000
2.410000	 313.154050	 313.154050
2.420000	 313.428200	 313.428200
2.430000	 313.702450	 313.702450
2.440000	 313.976800	 313.976800
2.450000	 314.251250	 314.251250
2.460000	 314.525800	 314.525800
2.470000	 314.800450	 314.800450
2.480000	 315.075200	 315.075200
2.490000	 315.350050	 315.350050
2.500000	 315.625000	 315.625000
2.510000	 315.900050	 315.900050
2.520000	 316.175200	 316.175200
2.530000	 316.450450	 316.450450
2.540000	 316.725800	 316.725800
2.550000	 317.001250	 317.001250
2.560000	 317.276800	 317.276800
2.570000	 317.552450	 317.552450
2.580000	 317.828200	 317.828200
2.590000	 318.104050	 318.104050
2.600000	 318.380000	 318.380000
2.610000	 318.656050	 318.656050
2.620000	 318.932200	 318.932200
2.630000	 319.208450	 319.208450
2.640000	 319.484800	 319.484800
2.650000	 319.761250	 319.761250
2.660000	 320.037800	 320.037800
2.670000	 320.314450	 320.314450
2.680000	 320.591200	 320.591200
2.690000	 320.868050	 320.868050
2.700000	 321.145000	 321.145000
2.710000	 321.422050	 321.422050
2.720000	 321.699200	 321.699200
2.730000	 321.976450	 321.976450
2.740000	 322.253800	 322.253800
2.750000	 322.531250	 322.531250
2.760000	 322.808800	 322.808800
2.770000	 323.086450	 323.086450
2.780000	 323.364200	 323.364200
2.790000	 323.642050	 323.642050
2.800000	 323.920000	 323.920000
2.810000	 324.198050	 324.198050
2.820000	 324.476200	 324.476200
2.830000	 324.754450	 324.754450
2.840000	 325.032800	 325.032800
2.850000	 325.311250	 325.311250
2.860000	 325.589800	 325.589800
2.870000	 325.868450	 325.868450
2.880000	 326.147200	 326.147200
2.890000	 326.426050	 326.426050
2.900000	 326.705000	 326.705000
2.910000	 326.984050	 326.984050
2.920000	 327.263200	 327.263200
2.930000	 327.542450	 327.542450
2.940000	 327.821800	 327.821800
2.950000	 328.101250	 328.101250
2.960000	 328.380800	 328.380800
2.970000	 328.660450	 328.660450
2.980000	 328.940200	 328.940200
2.990000	 329.220050	 329.220050
3.000000	 329.500000	 329.500000
3.010000	 329.780050	 329.780050
3.020000	 330.060200	 330.060200
3.030000	 330.340450	 330.340450
3.040000	 330.620800	 330.620800
3.050000	 330.901250	 330.901250
3.060000	 331.181800	 331.181800
3.070000	 331.462450	 331.462450
3.080000	 331.743200	 331.743200
3.090000	 332.024050	 332.024050
3.100000	 332.305000	 332.305000
3.110000	 332.586050	 332.586050
3.120000	 332.867200	 332.867200
3.130000	 333.148450	 333.148450
3.140000	 333.429800	 333.429800
3.150000	 333.711250	 333.711250
3.160000	 333.992800	 333.992800
3.170000	 334.274450	 334.274450
3.180000	 334.556200	 334.556200
3.190000	 334.838050	 334.838050
3.200000	 335.120000	 335.120000
3.210000	 335.402050	 335.402050
3.220000	 335.684200	 335.684200
3.230000	 335.966450	 335.966450
3.240000	 336.248800	 336.248800
3.250000	 336.531250	 336.531250
3.260000	 336.813800	 336.813800
3.270000	 337.096450	 337.096450
3.280000	 337.379200	 337.379200
3.290000	 337.662050	 337.662050
3.300000	 337.945000	 337.945000
3.310000	 338.228050	 338.228050
3.320000	 338.511200	 338.511200
3.330000	 338.794450	 338.794450
3.340000	 339.077800	 339.077800
3.350000	 339.361250	 339.361250
3.360000	 339.644800	 339.644800
3.370000	 339.928450	 339.928450
3.380000	 340.212200	 340.212200
3.390000	 340.496050	 340.496050
3.400000	 340.780000	 340.780000
3.410000	 341.064050	 341.064050
3.420000	 341.348200	 341.348200
3.430000	 341.632450	 341.632450
3.440000	 341.916800	 341.916800
3.450000	 342.201250	 342.201250
3.460000	 342.485800	 342.485800
3.470000	 342.770450	 342.770450
3.480000	 343.055200	 343.055200
3.490000	 343.340050	 343.340050
3.500000	 343.625000	 343.625000
3.510000	 343.910050	 343.910050
3.520000	 344.195200	 344.195200
3.530000	 344.480450	 344.480450
3.540000	 344.765800	 344.765800
3.550000	 345.051250	 345.051250
3.560000	 345.336800	 345.336800
3.570000	 345.622450	 345.622450
3.580000	 345.908200	 345.908200
3.590000	 346.194050	 346.194050
3.600000	 346.480000	 346.480000
3.610000	 346.766050	 346.766050
3.620000	 347.052200	 347.052200
3.630000	 347.338450	 347.338450
3.640000	 347.624800	 347.624800
3.650000	 347.911250	 347.911250
3.660000	 348.197800	 348.197800
3.670000	 348.484450	 348.484450
3.680000	 348.771200	 348.771200
3.690000	 349.058050	 349.058050
3.700000	 349.345000	 349.345000
3.710000	 349.632050	 349.632050
3.720000	 349.919200	 349.919200
3.730000	 350.206450	 350.206450
3.740000	 350.493800	 350.493800
3.750000	 350.781250	 350.781250
3.760000	 351.068800	 351.068800
3.770000	 351.356450	 351.356450
3.780000	 351.644200	 351.644200
3.790000	 351.932050	 351.932050
3.800000	 352.220000	 352.220000
3.810000	 352.508050	 352.508050
3.820000	 352.796200	 352.796200
3.830000	 353.084450	 353.084450
3.840000	 353.372800	 353.372800
3.850000	 353.661250	 353.661250
3.860000	 353.949800	 353.949800
3.870000	 354.238450	 354.238450
3.880000	 354.527200	 354.527200
3.890000	 354.816050	 354.816050
3.900000	 355.105000	 355.105000
3.910000	 355.394050	 355.394050
3.920000	 355.683200	 355.683200
3.930000	 355.972450	 355.972450
3.940000	 356.261800	 356.261800
3.950000	 356.551250	 356.551250
3.960000	 356.840800	 356.840800
3.970000	 357.130450	 357.130450
3.980000	 357.420200	 357.420200
3.990000	 357.710050	 357.710050
4.000000	 358.000000	 358.000000
4.010000	 358.290050	 358.290050
4.020000	 358.580200	 358.580200
4.030000	 358.870450	 358.870450
4.040000	 359.160800	 359.160800
4.050000	 359.451250	 359.451250
4.060000	 359.741800	 359.741800
4.070000	 360.032450	 360.032450
4.080000	 360.323200	 360.323200
4.090000	 360.614050	 360.614050
4.100000	 360.905000	 360.905000
4.110000	 361.196050	 361.196050
4.120000	 361.487200	 361.487200
4.130000	 361.778450	 361.778450
4.140000	 362.069800	 362.069800
4.150000	 362.361250	 362.361250
4.160000	 362.652800	 362.652800
4.170000	 362.944450	 362.944450
4.180000	 363.236200	 363.236200
4.190000	 363.528050	 363.528050
4.200000	 363.820000	 363.820000
4.210000	 364.112050	 364.112050
4.220000	 364.404200	 364.404200
4.230000	 364.696450	 364.696450
4.240000	 364.988800	 364.988800
4.250000	 365.281250	 365.281250
4.260000	 365.573800	 365.573800
4.270000	 365.866450	 365.866450
4.280000	 366.159200	 366.159200
4.290000	 366.452050	 366.452050
4.300000	 366.745000	 366.745000
4.310000	 367.038050	 367.038050
4.320000	 367.331200	 367.331200
4.330000	 367.624450	 367.624450
4.340000	 367.917800	 367.917800
4.350000	 368.211250	 368.211250
4.360000	 368.504800	 368.504800
4.370000	 368.798450	 368.798450
4.380000	 369.092200	 369.092200
4.390000	 369.386050	 369.386050
4.400000	 369.680000	 369.680000
4.410000	 369.974050	 369.974050
4.420000	 370.268200	 370.268200
4.430000	 370.562450	 370.562450
4.440000	 370.856800	 370.856800
4.450000	 371.151250	 371.151250
4.460000	 371.445800	 371.445800
4.470000	 371.740450	 371.740450
4.480000	 372.035200	 372.035200
4.490000	 372.330050	 372.330050
4.500000	 372.625000	 372.625000
4.510000	 372.920050	 372.920050
4.520000	 373.215200	 373.215200
4.530000	 373.510450	 373.510450
4.540000	 373.805800	 373.805800
4.550000	 374.101250	 374.101250
4.560000	 374.396800	 374.396800
4.570000	 374.692450	 374.692450
4.580000	 374.988200	 374.988200
4.590000	 375.284050	 375.284050
4.600000	 375.580000	 375.580000
4.610000	 375.876050	 375.876050
4.620000	 376.172200	 376.172200
4.630000	 376.468450	 376.468450
4.640000	 376.764800	 376.764800
4.650000	 377.061250	 377.061250
4.660000	 377.357800	 377.357800
4.670000	 377.654450	 377.654450
4.680000	 377.951200	 377.951200
4.690000	 378.248050	 378.248050
4.700000	 378.545000	 378.545000
4.710000	 378.842050	 378.842050
4.720000	 379.139200	 379.139200
4.730000	 379.436450	 379.436450
4.740000	 379.733800	 379.733800
4.750000	 380.031250	 380.031250
4.760000	 380.328800	 380.328800
4.770000	 380.626450	 380.626450
4.780000	 380.924200	 380.924200
4.790000	 381.222050	 381.222050
4.800000	 381.520000	 381.520000
4.810000	 381.818050	 381.818050
4.820000	 382.116200	 382.116200
4.830000	 382.414450	 382.414450
4.840000	 382.712800	 382.712800
4.850000	 383.011250	 383.011250
4.860000	 383.309800	 383.309800
4.870000	 383.608450	 383.608450
4.880000	 383.907200	 383.907200
4.890000	 384.206050	 384.206050
4.900000	 384.505000	 384.505000
4.910000	 384.804050	 384.804050
4.920000	 385.103200	 385.103200
4.930000	 385.402450	 385.402450
4.940000	 385.701800	 385.701800
4.950000	 386.001250	 386.001250
4.960000	 386.300800	 386.300800
4.970000	 386.600450	 386.600450
4.980000	 386.900200	 386.900200
4.990000	 387.200050	 387.200050
5.000000	 387.500000	 387.500000
5.010000	 387.800050	 387.800050
5.020000	 388.100200	 388.100200
5.030000	 388.400450	 388.400450
5.040000	 388.700800	 388.700800
5.050000	 389.001250	 389.001250
5.060000	 389.301800	 389.301800
5.070000	 389.602450	 389.602450
5.080000	 389.903200	 389.903200
